Z,Symbol,Freq_X,Freq_Y,Freq_Z,Mass,X_Hex,Y_Hex,Zc_Hex,W_Hex,Dim_Class,State
105,Db,0.33,0.04,0.42,268.0,0x8021,0x7FFC,0x7FD6,0x989C,4D (Hyper-Fold),Stable
106,Sg,0.33,0.04,0.41,269.0,0x8021,0x7FFC,0x7FD7,0x9A2C,4D (Hyper-Fold),Stable
107,Bh,0.32,0.04,0.4,270.0,0x8020,0x7FFC,0x7FD8,0x9BBC,4D (Hyper-Fold),Stable
108,Hs,0.27,0.03,0.34,277.0,0x801B,0x7FFD,0x7FDE,0x9D4C,4D (Hyper-Fold),Stable
109,Mt,0.27,0.03,0.33,278.0,0x801B,0x7FFD,0x7FDF,0x9EDC,4D (Hyper-Fold),Stable
110,Ds,0.25,0.03,0.31,281.0,0x8019,0x7FFD,0x7FE1,0xA06C,4D (Hyper-Fold),Stable
111,Rg,0.24,0.03,0.31,282.0,0x8018,0x7FFD,0x7FE1,0xA1FC,4D (Hyper-Fold),Stable
112,Cn,0.23,0.02,0.29,285.0,0x8017,0x7FFE,0x7FE3,0xA38C,4D (Hyper-Fold),Stable
113,Nh,0.22,0.02,0.28,286.0,0x8016,0x7FFE,0x7FE4,0xA51C,4D (Hyper-Fold),Stable
114,Fl,0.21,0.02,0.26,289.0,0x8015,0x7FFE,0x7FE6,0xA6AC,4D (Hyper-Fold),Stable
115,Mc,0.2,0.02,0.26,290.0,0x8014,0x7FFE,0x7FE6,0xA83C,4D (Hyper-Fold),Stable
116,Lv,0.19,0.02,0.24,293.0,0x8013,0x7FFE,0x7FE8,0xA9CC,4D (Hyper-Fold),Stable
117,Ts,0.19,0.02,0.23,294.0,0x8013,0x7FFE,0x7FE9,0xAB5C,4D (Hyper-Fold),Stable
118,Og,0.19,0.02,0.23,294.0,0x8013,0x7FFE,0x7FE9,0xACEC,4D (Hyper-Fold),Closure
